EntryID,Supplier Key,Supply Chain,Top 100,BMW Potential,CSCS,IPO SEA Contacted,CompStatus,Supplier Name,BMW Supplier Nr,Main Product Group,Sub Product Group,Product Portfolio,Industry,Core Process,Main Material,Tech Capability Level,Product Complexity,Ownership Structure,Nationality,Street No RA,RegAddressIE,City RA,Province RA,Country RA,Zip Code RA,Parent Company,SEACompany
86,TH190408793,,,Y,Y,Y,Active,"Fabrinet Co., Ltd.",,MK,22,"Sensors And Actuators, LED Lighting, Laser Headlights",Electronics,Assembly,Semiconductors,H,A,C,American,"5/6 Moo6, Soi Khunpra,Phaholyothin Road, Klongneung",,Khlongluang,Pathumthani,THA,12120,,
15,TH190408811,,Y,,Y,Y,Active,"Faurecia Emissions Control Technologies (Thailand) Co., Ltd.",,MA,14,"Exhaust Pipes & Mufflers,Exhaust Systems",Metal,Sheet Metalforming,Steel,H,A,C,French,61 Moo 4,Eastern Seaboard Industrial Estate,Pluakdaeng,Rayong,THA,21140,Faurecia,
16,TH190408813,,Y,,Y,Y,Active,"Faurecia Interior Systems (Thailand) Co., Ltd.",,MI,33,"Instrument Panel, Tunnel Console , Door Panel , Gl",Leather,Assembly,Leather / Fabric,H,A,C,French,Interchange 21 Building 399 Sukhumvit Road,,Wattana,Bangkok,THA,10110,Faurecia,
37,TH190408858,,N,,,Y,Active,Fortune Parts Industry Pcl.,,MK,4,"Plastic & Metal Body Parts, Rubber, Mold Design & Making, Chroming",Plastic,Plastic Injection,Plastic,L,C,P,Thai,"11/22 Moo 20,Nimitmai Rd.,",,Lamlukka,Pathumthani,THA,12150,,
87,PH190408899,,,,,Y,Active,"Fujitsu Ten Solutions Philippines Co., Ltd.",,MD,36,"Software Development For Audio Visual, Audio, Electronics/Electric Parts, Plastic Injection Molding, Assembly",Electronics,Assembly,Semiconductors,L,C,C,Japan,100 South Science Ave,Laguna Technopark - SEZ,Biñan,Laguna,PHI,1605,,
89,TH190408910,,,Y,Y,Y,Active,"Furukawa Automotive Systems (Thailand) Co., Ltd. (Fast)",,MD,41,"KBB wire harness, Electric Connector, SRC (Steering Roll Connectors), Junction Box",,,,L,C,C,Japan,"789/72 Moo 1, Nongkham",Pinthong Industrial Estate,Sriracha,Chonburi,THA,20230,Furukawa Electric,
88,TH190408907,,,,,Y,Active,"Furukawa Automotive Systems Asia Pacific Co., Ltd.",,MD,11,Wire Harness,Electronics,Assembly - Electronic Assy,Wire Harness,H,,C,Japan,"90 CW Tower A, 21st Floor, Unit A2104, Ratchadapisek Road",,Huai Khwang,Bangkok,THA,10310,Furukawa Electric,
18,TH190408923,,Y,,Y,Y,Active,"Futuris Automotive (Thailand) Co.,Ltd",,MI,33,Interior,,,,L,C,C,Australian,500/120 Moo 3,Hemaraj Eastern Seaboard Industrial Estate,Pluakdaeng,Rayong,THA,21140,Adient,
90,TH190408947,,,,,Y,Active,"Global Thaixon Precision Industry Co., Ltd",,MA,12,"Engine Parts, Break System Parts Suspension Parts",Metal,Precision Machining,Steel,L,C,C,Taiwanese,"99 Moo 1,Bangna-Trad, Km.36,",Wellgrow Industrial Estate,Bangpakong,Chachoengsao,THA,24180,,
19,TH190408953,,Y,Y,Y,Y,Active,Goodyear (Thailand) Pcl.,,MF,39,"Automotive Tires, Tyres",Rubber,Assembly,Rubber,H,A,P,American,"50/9 Phaholyothin Rd. Km.36,Klongnueng",,Khlongluang,Pathumthani,THA,12120,Goodyear Tire,
