EntryID,Supplier Key,Supply Chain,Top 100,BMW Potential,CSCS,IPO SEA Contacted,CompStatus,Supplier Name,BMW Supplier Nr,Main Product Group,Sub Product Group,Product Portfolio,Industry,Core Process,Main Material,Tech Capability Level,Product Complexity,Ownership Structure,Nationality,Street No RA,RegAddressIE,City RA,Province RA,Country RA,Zip Code RA,Parent Company,SEACompany
61,TH190408325,,,,Y,Y,Active,"Bestex (Thailand) Co., Ltd.",,MA,12,Engine Mounting Pipe Stamping Rubber-Metal Parts P,Rubber,Sheet Metalforming,,L,C,C,Japan,1/72 Moo 5,Rojana Industrial Park,Uthai,Ayuthaya,THA,13210,,
3,TH190408348,,Y,,Y,Y,Active,"Borgwarner (Thailand) Co., Ltd.",,MA,12,Turbochargers,Metal,Casting / Machining,Steel,H,A,C,German,"700/607 Moo 4,Bankao",Amata Nakorn Industrial Estate,Phanthong,Chonburi,THA,20160,BorgWarner,
190,SP1910021215,,,Y,Y,Y,Active,BorgWarner PDS (Thailand) Ltd.,,MA,12,"power drive systems, starters, transfer cases",Aluminum,Assembly - Mechanical,,H,A,C,American,300/148 Moo 1,Eastern Seaboard Industrial Estate,Pluakdaeng,Rayong,THA,21140,BorgWarner,
4,TH190408349,,Y,,Y,Y,Active,"Bosch Automotive (Thailand) Co., Ltd.",253714 - 10,MF,5,"Brake Boosters, Injection Common Rail System, Automotive Electronics, Windows Wiper / System",Electronics,Assembly,Semiconductors,H,A,C,German,"7/102 Moo 4, Mabyangporn",Amata City Industrial Estate,Pluakdaeng,Rayong,THA,21140,Robert Bosch,
5,TH190408362,,Y,Y,Y,Y,Active,"Brose Thailand Co., Ltd.",230761-10,MK,43,Window Regulator,Metal,Assembly,Steel,H,C,C,German,300/28 Moo 1,Eastern Seaboard Industrial Estate,Pluakdaeng,Rayong,THA,21140,Brose Fahrzeugteile,
6,TH190408399,,Y,,Y,Y,Active,"Calsonic Kansei (Thailand) Co., Ltd.",,MA,19,A/C Electronics/Electric Parts Stampin,Electronics,Assembly,Semiconductors,H,A,C,Japan,700/641 Moo 3,Amata Nakorn Industrial Estate,Phanthong,Chonburi,THA,20160,Marelli,
62,TH190408405,,,Y,Y,Y,Active,"Carbon Magic Co., Ltd.",140566-10,MK,4,"CFRP Parts, Interior Carbon Panels, Aesthetic Materials, Trim, Bumpers, Spoilers",CFR,Assembly,Carbon,H,C,C,Japan,,,Sriracha,Chonburi,THA,20110,,
63,TH190408411,,,,Y,Y,Active,"Castem Thailand Co., Ltd.",134126 - 10,MA,12,"Lost Wax Precision Casting,  Sintering",Metal,Casting / Machining,Steel,L,C,C,Japan,"25 Moo 9 Soi Wat Mahawong, Poochaosamingprai Rd",,Phrapradaeng,Samutprakarn,THA,10130,,
64,TH190408437,,,,Y,Y,Active,Ceva Logistics (Thailand) Ltd.,228634-10,MF,39,Tire Wheel Assembly,Service,,,L,A,C,Danish,1910 New Petchburi Road,,Pluakdaeng,Bangkok,THA,10310,,
65,TH190408443,,,,Y,Y,Active,"Ch Auto Parts Co., Ltd.",,MK,4,Stamping | Welding | Machining | Steel Fuel tank |  Radiator,Metal,Sheet Metalforming,Steel,L,C,C,Thai,"127 Group 2, Soi Suansom,  Samrongthai,  ",,Phrapradaeng,Samutprakarn,THA,10130,,
188,SP1908060946,,,,,Y,Active,"Clasquin (Thailand) Co., Ltd.",,MG,44,Transport and Logistic Services,Service Provider,Logistics / Warehousing / Forwarding,,H,S,C,French,"14th Flr Unit F-G
163 Ocean Insurance Building Surawongse Rd",,Bangrak,Bangkok,THA,15000,,
66,TH190408526,,,Y,Y,Y,Active,"Cobra Advanced Composites Co., Ltd.",220777-10,MK,4,"CFRP Parts, Interior Carbon Panels, Aesthetic Materials, Trim, Bumpers, Spoilers",CFR,Assembly,Carbon,H,A,C,Thai,,Amata Nakorn Industrial Estate,Donhualoh,Chonburi,THA,20000,,
7,TH190408540,,Y,Y,Y,Y,Active,"Continental Automotive (Thailand) Co.,Ltd",,MA,12,"Automotive & Powertrain, Supplier of Mechatronics",Metal,Precision Machining,Steel,H,A,C,German,"16th Floor, G Tower,South Wing,9 Rama9,Road,",,Huaykwang,Bangkok,THA,10310,Continental AG,
8,PH190408543,,Y,Y,Y,Y,Active,"Continental Temic Electronics (Phils.), Inc.",176921-10,MD,34,"Sensor & Automotive Electronics, Automatic Control Parts, Chassis Electronics, Transducers, Speed Sensors",Electronics,Assembly,Semiconductors,H,A,C,German,16 Ring Road L,Light Industry and Science Park 2 - SEZ,Calamba City,Laguna,PHI,4027,Continental AG,
67,TH190408587,,,,,Y,Active,"Daido Manufacturing (Thailand) Co., Ltd.",,MA,38,Plastic Injection Molding Paint Coating Plating,Plastic,Plastic Injection,Plastic,L,C,C,Japan,63/1 Moo 3,Siam Eastern Industrial Park,Pluakdaeng,Rayong,THA,21140,,
